epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,36.7486,1.53954,2.88279,1.34078,0.67464,0.62069,0.66733,0.33074,1.66064,2.97586,1.36593,0.000659004,0.000659004,0.000659004
2,59.348,1.49511,2.21965,1.31675,0.57884,0.7931,0.56661,0.24428,1.66354,2.98678,1.42696,0.00126005,0.00126005,0.00126005
3,81.1038,1.59031,2.0322,1.40049,0.7949,0.74713,0.86101,0.43717,1.6175,2.04141,1.41606,0.0017951,0.0017951,0.0017951
4,103.167,1.50349,1.81631,1.3237,0.7346,0.67816,0.7382,0.34214,1.55999,2.59165,1.44458,0.001703,0.001703,0.001703
5,129.251,1.55178,1.69223,1.37653,0.78333,0.74713,0.80303,0.4061,1.57429,1.85748,1.37654,0.001604,0.001604,0.001604
6,158.708,1.48068,1.53843,1.36594,0.7509,0.77011,0.7133,0.35257,1.51442,1.81222,1.38634,0.001505,0.001505,0.001505
7,186.873,1.48201,1.42464,1.33532,0.73166,0.82759,0.74034,0.37438,1.51174,1.62635,1.33368,0.001406,0.001406,0.001406
8,213.214,1.49143,1.4196,1.34167,0.92574,0.78161,0.90475,0.46766,1.5437,1.49146,1.38835,0.001307,0.001307,0.001307
9,242.314,1.41985,1.27581,1.27955,0.88168,0.77089,0.85428,0.44709,1.57037,1.3583,1.34941,0.001208,0.001208,0.001208
10,269.356,1.40105,1.2312,1.27167,0.82847,0.86207,0.84762,0.4447,1.55327,1.22127,1.34264,0.001109,0.001109,0.001109
11,299.764,1.42582,1.37167,1.30917,0.92807,0.7931,0.91441,0.47053,1.58541,1.18854,1.31307,0.00101,0.00101,0.00101
12,327.996,1.34953,1.22994,1.26397,0.89127,0.86207,0.91673,0.47411,1.58442,1.18755,1.33623,0.000911,0.000911,0.000911
13,354.727,1.35576,1.14705,1.26195,0.873,0.86914,0.91236,0.51377,1.43789,1.11607,1.27467,0.000812,0.000812,0.000812
14,387.29,1.28007,1.07774,1.20999,0.90779,0.85057,0.92034,0.50341,1.47808,1.03572,1.27035,0.000713,0.000713,0.000713
15,415.515,1.31672,1.0235,1.21896,0.83991,0.83908,0.89449,0.52722,1.46599,1.03847,1.24388,0.000614,0.000614,0.000614
16,439.622,1.2512,1.00857,1.18206,0.87302,0.8693,0.93029,0.53234,1.40107,0.98073,1.23632,0.000515,0.000515,0.000515
17,462.899,1.22621,0.96646,1.18445,0.8896,0.83363,0.89922,0.50476,1.43292,1.08106,1.24758,0.000416,0.000416,0.000416
18,487.766,1.22382,0.9348,1.18517,0.8856,0.87356,0.93818,0.50478,1.4532,1.00486,1.27041,0.000317,0.000317,0.000317
19,510.565,1.16345,0.89281,1.12842,0.86214,0.86257,0.91839,0.5325,1.40621,0.93245,1.22618,0.000218,0.000218,0.000218
20,533.287,1.15775,0.86475,1.15207,0.8774,0.88506,0.91626,0.53736,1.38463,0.91664,1.21396,0.000119,0.000119,0.000119
